CO_GT ;konsentrasi_CO ;konsentrasi_NMHC;konsentrasi_C6H6;konsentrasi_NMHC ;konsentrasi_NO;konsentrasi_Nox;konsentrasi_NO2;konsentrasi_NO2 ;konsentrasi_O3;konsentrasi_RH ;konsentrasi_AH 
1;825;-200;4;702;53;1.077;57;1.267;458;16;1
1;871;-200;5;761;61;1.015;60;1.346;520;15;1
1;903;-200;7;853;72;930;69;1.420;606;16;1
1;944;-200;7;857;67;880;77;1.463;631;22;1
1;969;-200;7;850;70;857;77;1.503;695;28;1
2;1.005;-200;9;919;81;788;87;1.543;871;31;1
1;972;-200;8;898;79;807;88;1.508;879;32;1
1;960;-200;6;798;73;854;84;1.459;780;35;1
1;946;-200;5;767;57;870;65;1.443;728;37;1
1;959;-200;6;787;45;830;54;1.460;821;41;1
1;877;-200;3;658;25;964;37;1.349;663;37;1
1;867;-200;3;645;23;1.001;36;1.385;656;44;1
1;836;-200;3;626;-200;1.024;-200;1.397;639;49;1
0;820;-200;2;597;18;1.069;29;1.346;603;48;1
0;828;-200;3;618;23;1.039;25;1.354;560;49;1
1;929;-200;6;791;59;841;41;1.493;789;54;1
2;1.118;-200;13;1.079;135;638;68;1.761;1.145;52;1
3;1.155;-200;16;1.181;167;580;82;1.850;1.302;48;1
2;1.112;-200;12;1.058;190;654;137;1.695;1.297;41;1
2;1.094;-200;10;979;142;717;119;1.633;1.192;28;1
-200;1.022;-200;8;890;-200;803;-200;1.499;862;23;1
-200;968;-200;6;805;-200;875;-200;1.391;649;21;1
-200;978;-200;7;840;-200;852;-200;1.422;694;18;1
-200;947;-200;5;751;-200;922;-200;1.358;595;21;1
-200;997;-200;6;808;-200;870;-200;1.447;662;19;1
-200;1.026;-200;6;813;-200;843;-200;1.463;692;20;1
-200;973;-200;5;764;-200;914;-200;1.373;619;20;1
-200;925;-200;4;721;-200;969;-200;1.317;484;21;1
-200;957;-200;5;766;-200;929;-200;1.380;516;24;1
-200;1.029;-200;8;877;-200;807;-200;1.489;776;30;1
-200;1.109;-200;9;952;-200;735;-200;1.601;1.041;34;1
-200;1.105;-200;10;977;-200;692;-200;1.618;1.138;36;1
-200;1.039;-200;8;906;-200;728;-200;1.545;1.091;36;1
-200;965;-200;6;832;-200;795;-200;1.455;978;40;1
-200;955;-200;6;812;-200;823;-200;1.464;936;40;1
-200;935;-200;5;782;-200;847;-200;1.428;867;43;1
-200;902;-200;4;735;-200;890;-200;1.410;781;46;1
-200;875;-200;4;714;-200;903;-200;1.379;746;47;1
-200;884;-200;4;729;-200;920;-200;1.389;837;46;1
-200;942;-200;6;825;-200;870;-200;1.450;995;42;1
-200;1.077;-200;11;1.012;-200;708;-200;1.633;1.138;43;1
-200;1.040;-200;11;1.022;-200;713;-200;1.624;998;37;1
-200;982;-200;7;836;-200;840;-200;1.498;696;35;1
-200;995;-200;6;800;-200;896;-200;1.501;615;28;2
-200;1.024;-200;7;859;-200;810;-200;1.576;710;33;2
-200;1.029;-200;6;791;-200;855;-200;1.567;651;33;2
-200;1.003;-200;6;787;-200;850;-200;1.518;636;30;2
-200;987;-200;5;782;-200;875;-200;1.514;593;30;2
-200;1.023;-200;7;859;-200;810;-200;1.590;684;29;2
1;1.023;-200;7;875;83;785;71;1.590;711;27;2
2;1.064;-200;9;942;94;735;78;1.650;801;26;2
2;1.042;-200;9;936;84;759;72;1.630;770;27;2
2;1.059;-200;9;947;90;733;74;1.671;813;33;2
2;1.050;-200;9;921;91;743;70;1.683;851;40;2
1;1.025;-200;8;896;70;738;55;1.693;823;45;2
1;1.029;-200;6;816;75;804;54;1.624;778;48;2
1;1.055;-200;6;831;72;769;53;1.686;827;53;2
1;1.001;-200;6;799;59;800;46;1.642;753;53;2
1;936;-200;4;730;48;864;38;1.551;726;53;2
1;863;-200;2;608;41;1.035;30;1.465;597;50;2
0;834;-200;2;565;-200;1.187;-200;1.444;473;49;2
1;841;-200;2;578;11;1.144;16;1.464;463;53;2
1;871;-200;2;611;11;1.077;12;1.494;526;53;2
1;962;-200;5;747;37;862;38;1.605;712;54;2
1;1.083;-200;8;889;72;725;56;1.734;918;52;2
1;1.061;-200;8;891;53;721;57;1.697;894;49;2
1;1.012;-200;6;824;31;803;39;1.612;710;43;2
1;1.031;-200;7;834;47;793;47;1.640;737;39;2
1;1.011;-200;6;816;33;830;35;1.614;680;31;2
1;1.009;-200;6;824;35;822;44;1.606;670;31;2
1;980;-200;6;793;32;858;43;1.549;654;28;2
1;961;-200;6;803;23;852;34;1.552;618;27;2
1;966;-200;5;784;27;870;36;1.530;652;24;2
1;1.022;-200;7;849;32;813;44;1.583;732;24;2
2;1.091;-200;9;953;51;723;63;1.688;853;24;2
2;1.063;-200;9;919;46;735;60;1.676;821;29;2
2;1.116;-200;9;952;62;702;66;1.759;895;37;2
2;1.101;-200;7;875;65;722;68;1.748;927;44;2
-200;1.072;-200;6;831;-200;757;-200;1.677;857;47;2
-200;1.080;-200;8;890;-200;723;-200;1.702;869;49;2
-200;1.005;-200;6;792;-200;809;-200;1.638;725;52;2
-200;998;-200;5;776;-200;810;-200;1.608;665;52;2
-200;1.000;-200;5;763;-200;807;-200;1.619;680;54;2
-200;932;-200;4;720;-200;859;-200;1.562;605;54;2
-200;808;-200;1;539;-200;1.206;-200;1.383;427;49;2
-200;795;-200;1;494;-200;1.398;-200;1.353;400;48;2
-200;886;-200;2;613;-200;1.075;-200;1.484;522;55;2
-200;974;-200;5;740;-200;873;-200;1.595;703;59;2
-200;1.112;-200;9;936;-200;683;-200;1.792;965;58;2
-200;1.175;-200;13;1.080;-200;591;-200;1.931;1.102;55;2
-200;1.091;-200;9;925;-200;701;-200;1.753;1.058;51;2
-200;1.066;-200;8;890;-200;747;-200;1.690;906;41;2
-200;1.031;-200;8;887;-200;777;-200;1.665;844;32;2
-200;1.004;-200;7;868;-200;772;-200;1.632;763;31;2
-200;927;-200;4;698;-200;919;-200;1.537;555;35;2
-200;924;-200;3;673;-200;960;-200;1.522;520;36;2
-200;912;-200;3;671;-200;964;-200;1.508;508;35;2
-200;976;-200;5;752;-200;876;-200;1.561;545;31;2
-200;989;-200;6;798;-200;840;-200;1.607;584;35;2
-200;986;-200;6;794;-200;845;-200;1.619;590;38;2
-200;984;-200;6;800;-200;836;-200;1.607;610;43;2
-200;1.000;-200;7;857;-200;767;-200;1.634;689;47;2
-200;;-200;7;848;-200;763;-200;1.657;713;50;2
-200;1.013;-200;8;913;-200;717;-200;1.685;785;50;2
-200;1.004;-200;7;851;-200;767;-200;1.632;754;49;2
-200;949;-200;6;814;-200;824;-200;1.563;653;47;2
-200;895;-200;5;783;-200;863;-200;1.502;575;45;1
-200;863;-200;4;707;-200;927;-200;1.407;537;47;1
-200;786;-200;2;587;-200;1.150;-200;1.300;413;44;1
-200;792;-200;2;597;-200;1.137;-200;1.320;417;46;1
-200;816;-200;3;653;-200;1.058;-200;1.332;486;43;1
-200;826;-200;4;682;-200;1.088;-200;1.342;532;41;1
-200;826;-200;4;698;-200;1.017;-200;1.331;542;37;1
-200;809;-200;3;664;-200;1.061;-200;1.323;459;35;1
-200;809;-200;3;624;-200;1.131;-200;1.309;415;35;1
-200;853;-200;4;681;-200;1.031;-200;1.368;457;34;1
-200;814;-200;3;657;-200;1.086;-200;1.332;429;31;1
-200;807;-200;3;658;-200;1.113;-200;1.328;428;26;1
-200;811;-200;3;653;-200;1.120;-200;1.336;423;29;1
-200;796;-200;2;601;-200;1.171;-200;1.314;410;33;1
-200;833;-200;3;649;-200;1.142;-200;1.354;437;35;1
-200;856;-200;4;684;-200;1.023;-200;1.368;520;34;1
-200;830;-200;4;696;-200;1.060;-200;1.328;461;29;1
-200;883;-200;5;782;-200;958;-200;1.395;571;31;1
-200;965;-200;9;936;-200;808;-200;1.535;866;36;1
-200;931;-200;8;890;-200;831;-200;1.474;841;38;1
-200;885;-200;6;791;-200;941;-200;1.425;706;42;1
-200;900;-200;5;773;-200;944;-200;1.426;703;41;1
-200;904;-200;7;845;-200;878;-200;1.483;775;45;1
-200;944;-200;8;900;-200;809;-200;1.549;830;50;1
-200;907;-200;6;832;-200;868;-200;1.492;808;49;1
-200;886;-200;5;774;-200;868;-200;1.486;815;57;1
-200;882;-200;5;767;-200;856;-200;1.492;897;61;1
-200;843;-200;4;713;-200;917;-200;1.426;836;64;1
-200;825;-200;4;694;-200;935;-200;1.415;774;65;1
-200;791;-200;3;638;-200;1.038;-200;1.389;698;67;1
-200;856;-200;5;735;-200;936;-200;1.455;800;64;1
-200;861;-200;5;746;-200;911;-200;1.448;771;56;1
-200;924;-200;6;814;-200;830;-200;1.519;798;47;1
-200;941;-200;6;805;-200;842;-200;1.512;755;34;1
-200;879;-200;5;775;-200;899;-200;1.407;657;25;1
-200;816;-200;5;742;-200;1.009;-200;1.305;537;18;1
-200;715;-200;2;589;-200;1.286;-200;1.127;390;16;1
-200;717;-200;2;570;-200;1.326;-200;1.110;368;17;1
-200;711;-200;3;640;-200;1.224;-200;1.084;391;12;1
-200;731;-200;4;686;-200;1.212;-200;1.104;413;10;1
-200;752;-200;4;713;-200;1.163;-200;1.144;435;11;1
-200;879;-200;5;779;-200;999;-200;1.347;535;20;1
-200;922;-200;7;874;-200;851;-200;1.447;663;28;1
-200;958;-200;8;900;-200;782;-200;1.493;830;34;1
-200;949;-200;7;876;-200;773;-200;1.500;911;37;1
-200;922;-200;6;818;-200;826;-200;1.454;848;39;1
-200;902;-200;6;790;-200;856;-200;1.428;799;42;1
-200;932;-200;6;820;-200;817;-200;1.462;921;45;1
-200;870;-200;4;733;-200;903;-200;1.392;762;46;1
-200;812;-200;3;675;-200;995;-200;1.348;661;52;1
-200;773;-200;2;613;-200;1.065;-200;1.321;597;53;1
-200;769;-200;2;582;-200;1.105;-200;1.306;616;55;1
-200;763;-200;2;583;-200;1.093;-200;1.288;596;50;1
-200;809;-200;4;701;-200;997;-200;1.384;649;52;1
-200;893;-200;8;881;-200;810;-200;1.486;792;49;1
-200;1.028;-200;15;1.146;-200;638;-200;1.766;1.080;49;1
2;1.011;-200;12;1.051;111;702;-200;1.659;1.087;42;1
-200;994;-200;9;947;-200;764;-200;1.572;983;31;1
2;937;-200;8;908;86;822;;1.466;826;25;1
1;902;-200;6;808;57;912;64;1.408;632;24;1
1;860;-200;5;748;39;955;50;1.344;532;23;1
1;843;-200;4;716;41;1.005;53;1.305;496;22;1
1;872;-200;5;760;47;979;57;1.314;513;18;1
1;857;-200;5;775;45;979;55;1.258;512;15;1
2;922;-200;8;878;60;880;70;1.363;615;16;1
2;951;-200;7;875;51;856;68;1.406;600;21;1
2;962;-200;8;891;53;813;73;1.442;634;27;1
2;957;-200;9;926;72;758;92;1.480;830;28;1
1;928;-200;7;837;62;808;80;1.410;871;31;1
1;895;-200;7;846;41;819;60;1.371;787;31;1
1;902;-200;6;797;32;845;49;1.355;841;33;1
1;904;-200;6;801;44;852;53;1.400;862;38;1
1;919;-200;6;799;29;844;50;1.409;881;43;1
1;812;-200;3;663;18;982;34;1.265;709;41;1
1;776;-200;2;590;-200;1.099;-200;1.245;602;44;1
0;762;-200;2;563;12;1.181;21;1.208;492;43;1
1;786;-200;3;642;39;1.057;48;1.270;592;47;1
1;868;-200;6;798;83;866;71;1.392;824;48;1
2;965;-200;10;977;149;725;94;1.515;1.014;46;1
2;1.049;-200;15;1.133;216;630;118;1.662;1.208;41;1
2;1.008;-200;10;973;153;714;105;1.509;1.178;37;1
2;1.008;-200;11;1.021;177;714;122;1.549;1.176;26;1
2;973;-200;8;911;126;800;121;1.441;891;22;1
2;964;-200;10;959;96;787;115;1.438;731;18;1
1;923;-200;7;862;92;875;107;1.363;626;18;1
1;934;-200;6;811;75;896;86;1.343;553;23;1
2;1.036;-200;9;943;109;770;118;1.509;770;20;1
2;1.076;-200;10;994;133;723;129;1.549;938;18;1
2;1.055;-200;9;927;87;757;90;1.520;716;21;1
2;1.081;-200;9;938;80;728;87;1.568;714;30;2
1;1.072;-200;7;850;70;737;65;1.604;702;43;2
1;1.038;-200;5;773;67;749;61;1.568;687;50;2
1;1.059;-200;6;800;66;740;62;1.604;739;50;2
2;1.070;-200;7;852;97;704;85;1.639;867;48;2
2;1.093;-200;8;893;90;677;83;1.678;927;50;2
2;1.016;-200;7;849;99;729;84;1.609;872;48;2
1;988;-200;6;825;71;756;71;1.559;848;51;2
1;930;-200;5;749;59;823;62;1.464;777;53;2
1;815;-200;2;584;-200;1.102;-200;1.363;513;51;2
1;884;-200;4;686;26;908;40;1.439;651;56;2
1;913;-200;4;730;47;883;50;1.493;774;56;2
;994;-200;6;829;108;784;78;1.581;982;54;2
2;1.173;-200;12;1.047;160;631;89;1.815;1.175;53;2
4;1.314;-200;21;1.325;204;499;106;2.143;1.390;51;2
3;1.252;-200;16;1.168;193;557;107;1.938;1.352;47;2
2;1.151;-200;12;1.053;146;623;93;1.835;1.152;43;2
2;1.122;-200;9;951;126;687;95;1.729;1.022;42;2
2;1.111;-200;9;927;90;707;78;1.715;922;36;2
2;1.058;-200;8;894;84;736;76;1.648;825;34;2
1;972;-200;6;820;60;811;66;1.535;630;31;2
1;985;-200;6;826;66;808;71;1.544;621;29;2
1;1.004;-200;6;814;57;808;61;1.520;602;28;2
2;1.030;-200;8;897;71;733;73;1.592;668;29;2
1;965;-200;6;802;51;821;54;1.504;564;34;2
1;987;-200;6;824;49;793;53;1.541;581;42;2
1;923;-200;6;811;59;804;69;1.434;604;36;1
1;872;-200;6;824;66;853;77;1.346;590;30;1
1;939;-200;7;849;72;804;83;1.479;650;37;1
2;954;-200;7;855;89;792;94;1.474;745;41;1
2;969;-200;7;857;75;753;84;1.485;821;43;1
1;882;-200;5;763;38;879;55;1.388;656;45;1
1;805;-200;3;637;24;1.048;35;1.276;520;44;1
1;790;-200;2;590;-200;1.122;-200;1.257;493;45;1
-200;779;-200;2;560;19;1.189;31;1.231;487;48;1
1;842;-200;3;640;40;1.070;45;1.293;595;47;1
1;-200;-200;-200;-200;63;-200;59;-200;-200;-200;-200
2;-200;-200;-200;-200;121;-200;83;-200;-200;-200;-200
3;-200;-200;-200;-200;143;-200;90;-200;-200;-200;-200
2;-200;-200;-200;-200;104;-200;87;-200;-200;-200;-200
2;-200;-200;-200;-200;111;-200;83;-200;-200;-200;-200
1;-200;-200;-200;-200;83;-200;71;-200;-200;-200;-200
2;-200;-200;-200;-200;90;-200;77;-200;-200;-200;-200
1;-200;-200;-200;-200;82;-200;75;-200;-200;-200;-200
1;-200;-200;-200;-200;48;-200;52;-200;-200;-200;-200
1;-200;-200;-200;-200;89;-200;76;-200;-200;-200;-200
1;-200;-200;-200;-200;58;-200;60;-200;-200;-200;-200
2;-200;-200;-200;-200;129;-200;99;-200;-200;-200;-200
2;-200;-200;-200;-200;103;-200;88;-200;-200;-200;-200
2;-200;-200;-200;-200;115;-200;91;-200;-200;-200;-200
2;-200;-200;-200;-200;108;-200;91;-200;-200;-200;-200
1;-200;-200;-200;-200;60;-200;68;-200;-200;-200;-200
1;-200;-200;-200;-200;68;-200;71;-200;-200;-200;-200
1;-200;-200;-200;-200;36;-200;49;-200;-200;-200;-200
1;-200;-200;-200;-200;81;-200;71;-200;-200;-200;-200
1;-200;-200;-200;-200;91;-200;76;-200;-200;-200;-200
1;-200;-200;-200;-200;65;-200;67;-200;-200;-200;-200
1;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200
1;-200;-200;-200;-200;46;-200;58;-200;-200;-200;-200
1;-200;-200;-200;-200;71;-200;53;-200;-200;-200;-200
1;-200;-200;-200;-200;92;-200;52;-200;-200;-200;-200
2;-200;-200;-200;-200;201;-200;68;-200;-200;-200;-200
2;-200;-200;-200;-200;169;-200;69;-200;-200;-200;-200
2;-200;-200;-200;-200;158;-200;83;-200;-200;-200;-200
2;-200;-200;-200;-200;147;-200;99;-200;-200;-200;-200
2;-200;-200;-200;-200;119;-200;101;-200;-200;-200;-200
2;-200;-200;-200;-200;114;-200;104;-200;-200;-200;-200
2;-200;-200;-200;-200;92;-200;89;-200;-200;-200;-200
1;-200;-200;-200;-200;82;-200;88;-200;-200;-200;-200
2;-200;-200;-200;-200;85;-200;89;-200;-200;-200;-200
2;-200;-200;-200;-200;96;-200;92;-200;-200;-200;-200
2;-200;-200;-200;-200;104;-200;109;-200;-200;-200;-200
2;-200;-200;-200;-200;101;-200;107;-200;-200;-200;-200
2;-200;-200;-200;-200;128;-200;116;-200;-200;-200;-200
2;-200;-200;-200;-200;147;-200;124;-200;-200;-200;-200
2;-200;-200;-200;-200;115;-200;112;-200;-200;-200;-200
2;-200;-200;-200;-200;97;-200;99;-200;-200;-200;-200
1;-200;-200;-200;-200;74;-200;85;-200;-200;-200;-200
1;-200;-200;-200;-200;50;-200;69;-200;-200;-200;-200
1;-200;-200;-200;-200;41;-200;58;-200;-200;-200;-200
1;-200;-200;-200;-200;36;-200;49;-200;-200;-200;-200
1;835;-200;4;699;-200;912;-200;1.361;796;59;1
1;792;-200;3;621;40;1.015;56;1.322;714;59;1
0;749;-200;2;559;25;1.145;33;1.255;584;49;1
1;803;-200;3;676;38;975;39;1.303;676;57;1
1;818;-200;4;726;38;921;43;1.330;685;56;1
1;932;-200;7;861;75;767;62;1.483;894;53;1
2;977;-200;8;913;104;744;81;1.512;977;42;1
2;1.011;-200;9;945;134;733;102;1.570;1.034;31;1
2;975;-200;8;887;85;829;86;1.478;737;27;1
1;958;-200;7;867;30;828;37;1.468;660;25;1
1;903;-200;6;805;49;886;64;1.361;581;23;1
-200;854;-200;4;684;-200;1.020;-200;1.294;456;23;1
-200;890;-200;5;749;-200;953;-200;1.332;483;21;1
-200;962;-200;7;845;-200;877;-200;1.379;575;20;1
-200;1.028;-200;9;934;-200;786;-200;1.481;707;23;1
-200;1.031;-200;8;901;-200;775;-200;1.502;628;29;1
-200;1.087;-200;9;938;-200;;-200;1.613;747;40;2
-200;1.029;-200;7;862;-200;727;-200;1.539;733;43;2
-200;1.070;-200;9;932;-200;685;-200;1.648;847;45;2
-200;1.059;-200;8;914;-200;697;-200;1.617;895;48;2
-200;1.125;-200;9;952;-200;646;-200;1.690;995;53;2
-200;1.062;-200;6;829;-200;714;-200;1.592;846;56;2
-200;1.049;-200;7;853;-200;699;-200;1.605;882;60;2
-200;999;-200;7;871;-200;711;-200;1.580;909;63;2
-200;947;-200;6;808;-200;768;-200;1.537;851;65;2
-200;904;-200;5;753;-200;809;-200;1.529;766;67;2
-200;894;-200;4;681;-200;843;-200;1.476;765;66;2
-200;875;-200;3;654;-200;897;-200;1.463;752;67;2
-200;870;-200;3;637;-200;947;-200;1.445;716;64;2
-200;952;-200;5;756;-200;809;-200;1.518;825;58;2
-200;949;-200;4;705;-200;859;-200;1.460;691;52;2
-200;1.028;-200;7;854;-200;776;-200;1.561;761;39;2
-200;1.003;-200;7;849;-200;800;-200;1.511;710;32;2
-200;934;-200;5;;-200;872;-200;1.435;567;29;1
-200;872;-200;4;710;-200;956;-200;1.377;493;28;1
-200;852;-200;4;684;-200;982;-200;1.343;477;26;1
-200;881;-200;4;715;-200;955;-200;1.352;502;23;1
-200;942;-200;5;783;-200;898;-200;1.397;568;21;1
-200;1.038;-200;9;925;-200;746;-200;1.534;714;23;1
-200;1.042;-200;9;932;-200;752;-200;1.530;717;26;1
-200;1.181;-200;14;1.107;-200;590;-200;1.807;935;35;1
-200;1.116;-200;12;1.044;-200;613;-200;1.694;954;39;1
-200;1.062;-200;9;923;-200;697;-200;1.602;839;43;2
-200;1.085;-200;9;948;-200;680;-200;1.635;880;47;2
-200;1.161;-200;12;1.057;-200;613;-200;1.764;1.026;52;2
-200;1.053;-200;8;891;-200;690;-200;1.589;898;55;2
-200;956;-200;5;740;-200;831;-200;1.474;717;58;2
-200;859;-200;3;646;-200;951;-200;1.376;607;56;2
-200;813;-200;2;566;-200;1.123;-200;1.328;501;52;2
-200;815;-200;2;565;-200;1.127;-200;1.350;541;59;2
-200;902;-200;4;706;-200;877;-200;1.463;708;62;2
-200;1.017;-200;8;885;-200;726;-200;1.609;884;64;2
-200;1.336;-200;23;1.385;-200;477;-200;2.133;1.357;60;2
-200;1.393;-200;31;1.567;-200;416;-200;2.381;1.562;57;2
-200;1.271;-200;20;1.308;-200;517;-200;2.007;1.411;51;2
-200;1.169;-200;14;1.107;-200;607;-200;1.818;1.175;45;2
-200;1.143;-200;12;1.043;-200;643;-200;1.747;1.079;40;2
-200;1.084;-200;10;980;-200;679;-200;1.653;923;35;2
-200;1.051;-200;9;950;-200;715;-200;1.644;748;34;2
-200;1.020;-200;8;882;-200;765;-200;1.553;635;35;2
-200;1.111;-200;13;1.088;-200;635;-200;1.719;884;31;2
-200;1.125;-200;12;1.056;-200;645;-200;1.716;929;29;2
-200;1.099;-200;12;1.048;-200;657;-200;1.711;779;30;1
-200;1.132;-200;14;1.121;-200;611;-200;1.757;906;30;1
-200;1.077;-200;11;1.025;-200;629;-200;1.677;772;38;1
-200;1.076;-200;10;988;-200;648;-200;1.649;883;43;2
-200;1.070;-200;11;1.008;-200;656;-200;1.649;963;44;1
-200;1.052;-200;9;956;-200;675;-200;1.581;987;48;1
-200;988;-200;7;862;-200;736;-200;1.539;893;51;2
-200;926;-200;5;769;-200;836;-200;1.467;801;56;2
-200;925;-200;5;749;-200;826;-200;1.482;739;58;2
-200;869;-200;3;648;-200;953;-200;1.401;644;61;2
-200;832;-200;2;593;-200;1.049;-200;1.347;558;56;2
-200;854;-200;3;645;-200;954;-200;1.399;602;61;2
-200;913;-200;4;726;-200;861;-200;1.487;737;65;2
-200;976;-200;7;840;-200;756;-200;1.555;885;63;2
-200;1.309;-200;21;1.323;-200;505;-200;2.098;1.360;60;2
-200;1.333;-200;26;1.460;-200;443;-200;2.231;1.455;55;2
-200;1.209;-200;16;1.182;-200;546;-200;1.911;1.255;46;2
-200;1.180;-200;15;1.157;-200;568;-200;1.874;1.202;39;2
-200;1.204;-200;17;1.196;-200;552;-200;1.884;1.250;33;1
-200;1.143;-200;14;1.119;-200;610;-200;1.770;1.103;31;1
-200;1.120;-200;12;1.058;-200;626;-200;1.716;1.049;32;1
3;1.030;-200;9;935;-200;726;-200;1.583;791;29;1
2;1.058;-200;11;1.016;209;673;101;1.625;832;26;1
1;1.040;-200;8;882;132;756;71;1.560;635;29;2
2;1.093;-200;10;981;166;666;82;1.676;733;33;2
3;1.184;-200;14;1.119;243;594;104;1.806;912;35;2
3;1.180;-200;14;1.121;247;568;105;1.816;947;44;2
2;1.079;-200;10;988;165;633;87;1.694;899;48;2
2;1.095;-200;12;1.032;187;621;98;1.730;984;49;2
2;1.073;-200;11;1.009;206;639;105;1.655;955;50;2
2;1.063;-200;10;991;200;655;104;1.672;966;53;2
2;1.046;-200;10;960;189;671;96;1.637;899;55;2
1;953;-200;7;858;136;742;79;1.544;780;59;2
1;864;-200;3;673;83;947;61;1.412;636;59;2
1;829;-200;3;628;-200;994;-200;1.378;577;60;2
1;838;-200;3;639;72;963;48;1.391;596;65;2
1;913;-200;4;728;121;802;63;1.418;887;67;2
1;1.039;-200;9;921;268;687;92;1.556;1.115;64;1
4;1.252;-200;21;1.320;451;499;99;2.001;1.374;62;1
5;1.410;-200;35;1.669;458;393;117;2.555;1.644;54;2
4;1.217;-200;19;1.261;487;533;142;1.941;1.375;43;1
2;1.114;-200;13;1.077;319;633;121;1.705;1.199;35;1
2;1.026;-200;11;1.020;269;689;122;1.603;992;32;1
2;1.051;-200;13;1.094;224;646;108;1.675;966;26;1
2;1.027;-200;11;1.024;162;700;80;1.588;814;29;1
2;996;-200;10;992;189;722;93;1.580;727;29;1
2;1.028;-200;12;1.060;213;686;108;1.601;806;24;1
2;1.030;-200;12;1.060;245;705;118;1.588;852;21;1
3;1.133;-200;19;1.280;341;595;149;1.791;1.093;22;1
4;1.180;-200;22;1.339;382;567;171;1.868;1.211;24;1
4;1.261;-200;26;1.446;358;528;154;2.061;1.346;29;1
3;1.093;-200;15;1.133;288;599;122;1.708;1.200;33;1
2;1.068;-200;11;1.029;252;650;126;1.612;1.192;37;1
2;1.031;-200;10;958;201;700;121;1.560;1.074;40;1
2;1.055;-200;12;1.037;225;635;125;1.632;1.161;42;1
2;1.060;-200;11;1.029;242;622;126;1.663;1.210;45;1
2;962;-200;8;880;167;726;96;1.484;1.050;46;1
1;874;-200;5;776;99;846;73;1.416;873;50;1
1;832;-200;3;661;-200;977;-200;1.312;766;51;1
1;834;-200;4;709;87;907;65;1.348;835;54;1
1;865;-200;5;745;164;866;90;1.394;901;57;1
1;903;-200;6;803;87;819;58;1.471;853;56;1
3;1.236;-200;20;1.297;93;542;27;1.997;1.321;57;1
5;1.464;-200;30;1.552;417;419;67;2.366;1.738;54;1
3;1.258;-200;19;1.261;406;514;96;1.940;1.603;45;2
-200;1.203;-200;16;1.174;-200;577;-200;1.824;1.426;35;2
-200;1.156;-200;14;1.127;-200;616;-200;1.767;1.295;29;2
-200;1.106;-200;14;1.130;-200;623;-200;1.726;1.093;25;1
-200;1.008;-200;12;1.037;-200;697;-200;1.587;803;25;1
-200;1.011;-200;11;1.017;-200;704;-200;1.569;738;24;1
-200;1.049;-200;14;1.100;-200;667;-200;1.635;870;20;1
-200;1.053;-200;14;1.108;-200;694;-200;1.570;873;17;1
-200;1.088;-200;15;1.159;-200;666;-200;1.626;889;19;1
-200;1.248;-200;26;1.454;-200;550;-200;1.917;1.599;20;1
-200;1.374;-200;29;1.517;-200;490;-200;2.069;1.704;29;1
-200;1.213;-200;17;1.210;-200;572;-200;1.809;1.424;36;1
-200;1.108;-200;12;1.051;-200;640;-200;1.616;1.199;38;1
-200;1.071;-200;10;982;-200;649;-200;1.557;1.099;40;2
-200;1.044;-200;10;967;-200;672;-200;1.540;1.133;41;1
-200;1.045;-200;10;964;-200;666;-200;1.554;1.140;44;1
-200;1.004;-200;9;921;-200;699;-200;1.495;1.092;48;1
-200;944;-200;6;796;-200;784;-200;1.407;1.021;50;1
-200;868;-200;3;657;-200;921;-200;1.356;764;48;2
-200;850;-200;3;632;-200;954;-200;1.316;803;51;2
-200;873;-200;3;668;-200;911;-200;1.354;744;55;2
-200;905;-200;5;766;-200;842;-200;1.438;818;56;2
-200;1.249;-200;18;1.239;-200;540;-200;1.953;1.285;59;2
-200;1.488;-200;35;1.653;-200;388;-200;2.537;1.782;54;2
-200;1.300;-200;20;1.296;-200;489;-200;1.989;1.639;46;2
-200;1.311;-200;19;1.267;-200;524;-200;1.941;1.662;35;2
-200;1.232;-200;17;1.210;-200;565;-200;1.832;1.478;29;2
-200;1.113;-200;13;1.096;-200;635;-200;1.636;1.050;24;1
-200;1.048;-200;11;1.021;-200;698;-200;1.570;846;23;1
-200;1.054;-200;12;1.036;-200;697;-200;1.585;830;22;1
-200;1.104;-200;14;1.102;-200;670;-200;1.609;1.480;20;1
-200;1.130;-200;14;1.113;-200;674;-200;1.623;1.127;18;1
5;1.229;-200;22;1.348;-200;565;-200;1.830;1.445;16;1
4;1.347;-200;23;1.382;-200;529;-200;1.961;1.543;24;1
5;1.424;-200;25;1.417;-200;488;-200;2.092;1.674;30;2
4;1.305;-200;16;1.188;-200;546;-200;1.843;1.524;33;1
3;1.180;-200;13;1.088;-200;619;-200;1.662;1.339;33;1
1;1.029;-200;8;904;-200;709;-200;1.460;992;37;1
2;;-200;8;902;-200;702;-200;1.516;1.048;41;2
2;1.197;-200;11;1.029;-200;601;-200;1.628;1.362;45;1
1;1.006;-200;7;845;-200;738;-200;1.430;978;45;1
1;987;-200;6;820;-200;772;-200;1.400;935;46;1
1;958;-200;5;735;-200;816;-200;1.409;906;46;1
1;962;-200;5;747;-200;813;-200;1.431;913;53;1
1;958;-200;5;744;-200;809;-200;1.419;903;55;1
1;976;-200;5;780;-200;795;-200;1.467;898;54;1
